iter	RMSE
0	1.865407448
1	1.83716364
2	1.809997687
3	1.784910757
4	1.761532215
5	1.735452544
6	1.710777031
7	1.687045629
8	1.662447866
9	1.638511221
10	1.614963104
11	1.596404283
12	1.578001164
13	1.557986998
14	1.53950482
15	1.522291878
16	1.502947743
17	1.483135082
18	1.465707046
19	1.448123265
20	1.43284594
21	1.41448818
22	1.396424696
23	1.381533022
24	1.364625999
25	1.347835874
26	1.331940675
27	1.318171063
28	1.302842882
29	1.291102193
30	1.280433515
31	1.265960621
32	1.253817681
33	1.241145466
34	1.229508572
35	1.216151124
36	1.203754165
37	1.192223792
38	1.182142371
39	1.172477695
40	1.162442262
41	1.151612233
42	1.141782179
43	1.132904512
44	1.123341333
45	1.113646068
46	1.105789434
47	1.096829117
48	1.089468834
49	1.083145035
50	1.075858405
51	1.066743294
52	1.059126027
53	1.050281072
54	1.04291782
55	1.034609808
56	1.027787085
57	1.023030209
58	1.016727767
59	1.009941696
60	1.003010545
61	0.9954273619
62	0.9900204823
63	0.9834644296
64	0.9768933762
65	0.9706290902
66	0.9639046673
67	0.9583313074
68	0.9550125398
69	0.949146024
70	0.9448749708
71	0.9400270017
72	0.934849731
73	0.930134903
74	0.9255846995
75	0.9215091083
76	0.9168835117
77	0.9117680095
78	0.9069731979
79	0.9021718467
80	0.8976887838
81	0.8942073885
82	0.8895486687
83	0.8866034079
84	0.883415797
85	0.8788427733
86	0.8754346173
87	0.8709466534
88	0.8678422678
89	0.8643119607
90	0.8609748447
91	0.8583595448
92	0.8553871314
93	0.8526988731
94	0.8485724522
95	0.8459226136
96	0.8437323449
97	0.8410962665
98	0.8379832846
99	0.8347789683
100	0.830708543
101	0.8277196824
102	0.8246164878
103	0.8221706766
104	0.8190751228
105	0.8164119606
106	0.814137925
107	0.8110541858
108	0.8084927201
109	0.8061002685
110	0.8042715975
111	0.8018669342
112	0.7988906691
113	0.7968092652
114	0.7941609389
115	0.7922176372
116	0.7906888011
117	0.7884669905
118	0.7864827653
119	0.7849271875
120	0.7832099587
121	0.7812639078
122	0.7795980128
123	0.7780100844
124	0.7760924364
125	0.7745263419
126	0.7732504257
127	0.77199764
128	0.7697464855
129	0.7677432596
130	0.76640854
131	0.7643884494
132	0.7632708859
133	0.7620844971
134	0.7612679209
135	0.7597196506
136	0.7581374561
137	0.756548107
138	0.7549560996
139	0.7538585092
140	0.7521859552
141	0.750962086
142	0.74922154
143	0.7480280006
144	0.7467406804
145	0.7453528341
146	0.7443214728
147	0.7435268588
148	0.7420759054
149	0.7407431042
150	0.7396963359
151	0.7384775207
152	0.7374256548
153	0.7363883134
154	0.7353382873
155	0.7339447358
156	0.7326168791
157	0.7313120279
158	0.730287283
159	0.7292422735
160	0.7280728667
161	0.7268711053
162	0.7260682839
163	0.7256763072
164	0.7248482683
165	0.7242728975
166	0.7232866842
167	0.7222075629
168	0.7211743648
169	0.7204316426
170	0.719373891
171	0.7185041091
172	0.7175325194
173	0.7166585566
174	0.7160018992
175	0.7152665938
176	0.7136791767
177	0.7128676566
178	0.712007139
179	0.7113297695
180	0.7107257401
181	0.7098704136
182	0.7088722243
183	0.7082638818
184	0.70768142
185	0.707140288
186	0.7063343141
187	0.7057164405
188	0.7048587642
189	0.7042939762
190	0.7036363748
191	0.7027210969
192	0.7021492357
193	0.7014285001
194	0.7005518351
195	0.7000002168
196	0.6994773563
197	0.6988536701
198	0.6980282463
199	0.6977158317
200	0.6968729441
201	0.6962677962
202	0.6956367392
203	0.6947158219
204	0.6941625863
205	0.6936917076
206	0.692917318
207	0.6921303534
208	0.6915325468
209	0.6909195302
210	0.6904239674
211	0.6897344531
212	0.6889618395
213	0.6884099407
214	0.687595051
215	0.6865281114
216	0.6858605476
217	0.685304301
218	0.6845149698
219	0.6835896656
220	0.6831544301
221	0.6826207571
222	0.6822010362
223	0.6816931031
224	0.681375788
225	0.6808672653
226	0.6801982466
227	0.6797903691
228	0.6793531995
229	0.678497808
230	0.6780782577
231	0.6770746629
232	0.6765613404
233	0.6761213369
234	0.6755360619
235	0.6751548496
236	0.674481544
237	0.6740835476
238	0.673653626
239	0.6732230793
240	0.6727842554
241	0.6721043784
242	0.6717065772
243	0.6712297465
244	0.6705833619
245	0.6701179319
246	0.6697243568
247	0.6691061592
248	0.668627261
249	0.6682666449
250	0.6678849673
251	0.6670680539
252	0.6667339262
253	0.6664660427
254	0.6657426553
255	0.6648921255
256	0.6644995802
257	0.6637197602
258	0.6631907912
259	0.6628191831
260	0.6624400838
261	0.6620288188
262	0.6616619772
263	0.6609382869
264	0.6602200693
265	0.6596631001
266	0.6593585289
267	0.658928166
268	0.6579456465
269	0.6575006006
270	0.6572097595
271	0.6568145581
272	0.6563779572
273	0.6560957094
274	0.6557244277
275	0.6554527956
276	0.6547220524
277	0.6544364195
278	0.6537323597
279	0.6533657003
280	0.6528456228
281	0.651966348
282	0.6516955009
283	0.6511376163
284	0.6509416521
285	0.6507135527
286	0.6501631086
287	0.6499047136
288	0.6494175876
289	0.6491681769
290	0.6488883738
291	0.6484002542
292	0.6480362503
293	0.6476932824
294	0.6473540024
295	0.6470482495
296	0.6458522895
297	0.6454051992
298	0.6450676493
299	0.6444777655
