Id,date,TotalSteps,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,TotalIntensity,avg_hr,max_hr,min_hr,hr_std,hr_range,TotalMinutesAsleep,TotalTimeInBed,sleep_hours,sleep_efficiency,mood_score,productivity_score
1503960366,2016-04-12,13162,1985,25,13,328,728,429.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,327.0,346.0,5.45,0.9450867052023122,5.428206114510569,5.143750000000001
1503960366,2016-04-13,10735,1797,21,19,217,776,318.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,384.0,407.0,6.4,0.9434889434889435,5.608900019463867,5.544444444444444
1503960366,2016-04-14,10460,1776,30,11,181,1218,293.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,5.726452424652471,5.292361111111111
1503960366,2016-04-15,9762,1745,29,34,209,726,364.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,412.0,442.0,6.866666666666666,0.9321266968325792,6.204482217251948,7.0666666666666655
1503960366,2016-04-16,12669,1863,36,10,221,773,349.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,340.0,367.0,5.666666666666667,0.9264305177111717,5.900174927019429,5.606944444444445
1503960366,2016-04-17,9705,1728,38,20,164,539,318.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,700.0,712.0,11.666666666666666,0.9831460674157303,8.990223810057321,8.848611111111111
1503960366,2016-04-18,13019,1921,42,16,233,1149,391.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,6.322285757985804,6.33263888888889
1503960366,2016-04-19,15506,2035,50,31,264,775,476.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,304.0,320.0,5.066666666666666,0.95,6.241799964863812,7.323611111111111
1503960366,2016-04-20,10544,1786,28,12,205,818,313.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,360.0,377.0,6.0,0.9549071618037135,5.678651571111971,5.33611111111111
1503960366,2016-04-21,9819,1775,19,8,211,838,284.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,325.0,364.0,5.416666666666667,0.8928571428571429,4.958615441054289,4.367361111111111
1503960366,2016-04-22,12764,1827,66,27,130,1217,382.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,7.22784131354136,8.182638888888889
1503960366,2016-04-23,14371,1949,41,21,262,732,427.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,361.0,384.0,6.016666666666667,0.9401041666666666,6.332251353752701,6.684027777777778
1503960366,2016-04-24,10039,1788,39,5,238,709,365.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,430.0,449.0,7.166666666666667,0.9576837416481069,6.801567039845253,6.147222222222222
1503960366,2016-04-25,15355,2013,73,14,216,814,463.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,277.0,323.0,4.616666666666666,0.8575851393188855,6.856676770849366,7.434027777777779
1503960366,2016-04-26,13755,1970,31,23,279,833,418.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,245.0,274.0,4.083333333333333,0.8941605839416058,4.883529993249863,5.374305555555555
1503960366,2016-04-27,18134,2159,78,11,243,1108,499.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,7.879230202430248,8.111805555555556
1503960366,2016-04-28,13154,1898,48,28,189,782,389.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,366.0,393.0,6.1,0.9312977099236641,6.582125452565255,7.423611111111111
1503960366,2016-04-29,11181,1837,16,12,243,815,315.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,341.0,354.0,5.683333333333334,0.963276836158192,5.05264624546645,4.554861111111111
1503960366,2016-04-30,14673,1947,52,34,217,712,441.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,404.0,425.0,6.733333333333333,0.9505882352941176,7.142388200157931,8.31388888888889
1503960366,2016-05-01,10602,1820,33,35,246,730,415.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,369.0,396.0,6.15,0.9318181818181818,6.051743146681995,7.070138888888888
1503960366,2016-05-02,14727,2004,41,15,277,798,430.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,277.0,309.0,4.616666666666666,0.8964401294498382,5.584420649869207,5.7340277777777775
1503960366,2016-05-03,15103,1990,50,24,254,816,452.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,273.0,296.0,4.55,0.9222972972972973,5.931111151049999,6.684027777777778
1503960366,2016-05-04,11100,1819,36,22,203,1179,355.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,6.030619091319137,6.290972222222223
1503960366,2016-05-05,14070,1959,45,24,250,857,433.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,247.0,264.0,4.116666666666666,0.9356060606060606,5.489558803247652,6.186805555555556
1503960366,2016-05-06,12159,1896,24,6,289,754,373.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,334.0,367.0,5.566666666666666,0.9100817438692098,5.366465042066356,4.706944444444444
1503960366,2016-05-07,11992,1821,37,46,175,833,378.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,331.0,349.0,5.516666666666667,0.9484240687679083,5.814876811409499,7.522916666666667
1503960366,2016-05-08,10060,1740,44,8,203,574,351.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,594.0,611.0,9.9,0.972176759410802,8.407726724274616,7.804166666666666
1503960366,2016-05-09,12022,1819,46,11,206,835,366.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,338.0,342.0,5.633333333333334,0.9883040935672515,6.278020725097732,6.119444444444445
1503960366,2016-05-10,12207,1859,46,31,214,746,414.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,383.0,403.0,6.383333333333334,0.9503722084367245,6.691824951078315,7.635416666666666
1503960366,2016-05-11,12770,1783,36,23,251,669,393.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,285.0,306.0,4.75,0.9313725490196079,5.6485197361056425,6.129861111111111
1624580081,2016-04-12,8163,1432,0,0,146,1294,231.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.370896869096915,2.9090277777777778
1624580081,2016-04-13,7007,1411,0,0,148,1292,148.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.373674646874692,2.9118055555555555
1624580081,2016-04-14,9107,1572,0,0,236,1204,236.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.4958968690969145,3.034027777777778
1624580081,2016-04-15,1510,1344,0,0,96,1344,96.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.30145242465247,2.839583333333333
1624580081,2016-04-16,5370,1463,0,0,176,1264,176.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.4125635357635815,2.9506944444444443
1624580081,2016-04-17,6175,1554,15,22,127,1276,216.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,5.020896869096915,4.989583333333333
