iter	RMSE
0	0.9665069606
1	0.9539499083
2	0.9382500939
3	0.9233469772
4	0.9087911599
5	0.8949205939
6	0.8820219912
7	0.8670119958
8	0.8540131495
9	0.8413943341
10	0.8302400899
11	0.8174607831
12	0.8056065178
13	0.7959908255
14	0.784339315
15	0.7733754025
16	0.7624699562
17	0.7528741986
18	0.7440390748
19	0.7336357434
20	0.7253287828
21	0.7137605567
22	0.7044411426
23	0.6944009744
24	0.6859098048
25	0.6771467629
26	0.6691543795
27	0.661427028
28	0.6548199309
29	0.6464536039
30	0.6391736621
31	0.6324837769
32	0.6240601351
33	0.6183412477
34	0.6119454052
35	0.6044031192
36	0.5978160401
37	0.5912417264
38	0.583719915
39	0.5768666726
40	0.5721671713
41	0.5666615362
42	0.5606281041
43	0.5551160505
44	0.5489898129
45	0.5435914139
46	0.5376184311
47	0.5320629667
48	0.5270462286
49	0.5227260233
50	0.517777653
51	0.5133433688
52	0.5099274868
53	0.5056792791
54	0.5021880756
55	0.4994878799
56	0.4942442731
57	0.4891588404
58	0.4867118416
59	0.4846161098
60	0.4805597063
61	0.4770233899
62	0.4733613983
63	0.4693908457
64	0.4656365886
65	0.4618875835
66	0.4594623839
67	0.4559229895
68	0.4527580671
69	0.4493105831
70	0.4467093744
71	0.4436407902
72	0.4407580006
73	0.4383223731
74	0.4351214322
75	0.4322002994
76	0.4293415306
77	0.4263499531
78	0.423287571
79	0.4206898685
80	0.4186534212
81	0.4157578567
82	0.4132120925
83	0.4112990907
84	0.408930983
85	0.4065009957
86	0.4046325718
87	0.4021551517
88	0.4005287769
89	0.3984212082
90	0.3959551976
91	0.3943083893
92	0.3920322754
93	0.3896787029
94	0.3875280772
95	0.3851816888
96	0.3829760154
97	0.3814686269
98	0.3798632419
99	0.378964007
100	0.3762243969
101	0.3743906987
102	0.3731781989
103	0.371955131
104	0.3706397701
105	0.3690934936
106	0.3674684625
107	0.3659209775
108	0.3640284847
109	0.3617314408
110	0.3600763218
111	0.3584824847
112	0.3564533837
113	0.3540353107
114	0.3522960651
115	0.350224441
116	0.3488789112
117	0.3479249787
118	0.346227006
119	0.3447251294
120	0.3439096055
121	0.3421800742
122	0.3409076401
123	0.3398460397
124	0.3387981922
125	0.3380311967
126	0.3363599368
127	0.3350455129
128	0.3339055185
129	0.3324132613
130	0.3311109299
131	0.3295961463
132	0.3282397697
133	0.3269370437
134	0.3258394477
135	0.3245384616
136	0.3233534861
137	0.3222348706
138	0.3212269673
139	0.3201067382
140	0.3184933028
141	0.3169161673
142	0.3160887762
143	0.3149604872
144	0.3138472138
145	0.3123582142
146	0.3114832123
147	0.3097376582
148	0.3081820009
149	0.3072523955
150	0.3060530439
151	0.3054184507
152	0.3044579495
153	0.3035104325
154	0.3025620272
155	0.3018268923
156	0.3014462231
157	0.3001584026
158	0.29926272
159	0.2981502064
160	0.2969499587
161	0.2957284169
162	0.2945840483
163	0.2933941641
164	0.2923813884
165	0.2910216438
166	0.2899007692
167	0.2888083109
168	0.2878812318
169	0.2868380972
170	0.2860333104
171	0.2849948564
172	0.2836393057
173	0.2823821806
174	0.2811901912
175	0.2798235862
176	0.2788431177
177	0.2779049745
178	0.2770997642
179	0.2757908493
180	0.2748914061
181	0.2739882182
182	0.273107792
183	0.2720913188
184	0.2712468065
185	0.2704374265
186	0.2692053353
187	0.2684187158
188	0.2675996439
189	0.2668489436
190	0.2663451974
191	0.2656205414
192	0.2650335048
193	0.264354034
194	0.2636401721
195	0.262659592
196	0.2619446432
197	0.2613560104
198	0.2604087611
199	0.2598408407
200	0.2592015271
201	0.2587902709
202	0.2581739445
203	0.2577765988
204	0.257153416
205	0.2559456567
206	0.2550525313
207	0.2540109158
208	0.2536269977
209	0.2530247846
210	0.2524630542
211	0.25206219
212	0.2510574777
213	0.2502401599
214	0.2496037237
215	0.2490472157
216	0.2485048452
217	0.2481645746
218	0.2478462886
219	0.2473284541
220	0.2467466781
221	0.2458102131
222	0.2453352073
223	0.24502016
224	0.2447102616
225	0.2438038583
226	0.2434877186
227	0.2431863432
228	0.2429571039
229	0.2422406908
230	0.2419484568
231	0.2410752552
232	0.240787833
233	0.2400470879
234	0.2396053702
235	0.2393285942
236	0.2386423259
237	0.2383623641
238	0.2380913294
239	0.2371833356
240	0.2363064779
241	0.2360955781
242	0.2357725425
243	0.2349308498
244	0.2346713293
245	0.2338820603
246	0.2336991676
247	0.233493946
248	0.2331000125
249	0.2329227332
250	0.2322814085
251	0.2319001932
252	0.2312762806
253	0.230505491
254	0.2303069974
255	0.23011103
256	0.2299175507
257	0.2295540289
258	0.2291086404
259	0.2284609503
260	0.2281697757
261	0.2276877542
262	0.2271423879
263	0.2269017707
264	0.226172275
265	0.2255861923
266	0.2254019874
267	0.2250082747
268	0.2246199522
269	0.2239333322
270	0.2237512535
271	0.223372284
272	0.2231921903
273	0.2228103138
274	0.2226545576
275	0.2220908955
276	0.2218656904
277	0.2215059625
278	0.2209637754
279	0.2205974373
280	0.2204221977
281	0.2198144073
282	0.2195923141
283	0.2192303957
284	0.2190580263
285	0.2187006681
286	0.2185301108
287	0.2181772386
288	0.2178290538
289	0.2172320112
290	0.2170166128
291	0.216589292
292	0.2162478923
293	0.2156615847
294	0.2154506881
295	0.2152841302
296	0.2149466346
297	0.2147402664
298	0.214399507
299	0.2138645931
