timestamp,hour,day_of_week,out_of_range,fat_burn,cardio,peak,resting_hr,steps,intensity_ratio,activity_score,step_intensity
2026-03-01 21:52:03.006219,21,6,1439,0,0,0,70,3588,0.0,3.588,0.3588
2026-03-02 00:05:05.881962,0,0,1439,0,0,0,70,0,0.0,0.0,0.0
